Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,HCAHPS Answer Percent,Number of Completed Surveys,Survey Response Rate Percent,Start Date,End Date
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",74,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",8,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",18,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",79,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",6,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",15,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",70,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",9,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_LISTEN_U_P,"Patients who reported that their nurses ""Usually"" listened carefully to them","Nurses ""usually"" listened carefully",21,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",71,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_EXPLAIN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand","Nurses ""sometimes"" or ""never"" explained things so they could understand",9,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_NURSE_EXPLAIN_U_P,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand","Nurses ""usually"" explained things so they could understand",20,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",78,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",7,536,15,1/1/2022,12/31/2022
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",15,536,15,1/1/2022,12/31/2022
